1. V for Vendetta
2. Neil Gaiman's Neverwhere
3. The Books of Magic
4. Fables: 1001 Nights of Snowfall
5. Fables  Vol. 8: Wolves
6. Fables  Vol. 4: March of the Wooden Soldiers
7. Fables  Vol. 1: Legends in Exile
8. Fables  Vol. 7: Arabian Nights (and Days)
9. Fables  Vol. 6: Homelands
10. Fables  Vol. 3: Storybook Love
11. Fables  Vol. 5: The Mean Seasons
12. Jack of Fables  Vol. 1: The (Nearly) Great Escape
13. Death: The Time of Your Life (Death of the Endless  #2)
14. The Mystery Play
15. Kid Eternity
16. Doom Patrol  Vol. 1: Crawling from the Wreckage (Doom Patrol  #1)
17. The Filth
18. Doom Patrol  Vol. 5: Magic Bus
19. Doom Patrol  Vol. 4: Musclebound
20. The Invisibles  Vol. 3: Entropy in the U.K.
21. The Invisibles  Vol. 4: Bloody Hell in America
22. The Invisibles  Vol. 5: Counting to None
23. Transmetropolitan  Vol. 2: Lust for Life
24. Transmetropolitan  Vol. 3: Year of the Bastard
25. Transmetropolitan  Vol. 5: Lonely City
26. Transmetropolitan  Vol. 4: The New Scum
27. Transmetropolitan  Vol. 8: Dirge
28. Transmetropolitan  Vol. 10: One More Time
29. Transmetropolitan  Vol. 9: The Cure
30. Transmetropolitan  Vol. 7: Spider's Thrash
31. The Absolute Sandman  Volume One
32. Preludes & Nocturnes (The Sandman  #1)
33. The Doll's House (The Sandman  #2)
34. Season of Mists (The Sandman  #4)
35. A Game of You (The Sandman  #5)
36. World's End (The Sandman  #8)
37. The Wake (The Sandman  #10)
38. Michael Moorcock's Multiverse
39. Loveless  Vol. 1: A Kin of Homecoming
40. The Quitter
41. American Splendor: Another Day
0. Hellblazer: Setting Sun
